Node,Frequency,Frequency_in_cancer,In_Degree,Out_Degree,Multiplicity,Associated_genes
35,0.0018,0.002,0,233,9,"AL590730.2, H2AC2P, YWHAEP2, MIR517C, (ENSG00000266724), AC013701.1, RNA5SP422, RNA5SP421, (ENSG00000221708)"
36,0.0218,0.022,10,563,1,AC245008.1
37,0.0091,0.01,8,1046,1,RAD23A
38,0.0236,0.0261,23,584,1,TTC41P
39,0.049,0.0501,53,76,1,RNVU1-2A
40,0.7967,0.7976,1933,0,1,SERPINB11
41,0.0236,0.0261,26,362,1,AL135937.1
42,0.1579,0.1703,124,0,1,LINC02292
43,0.049,0.0521,34,4,1,SIN3B
44,0.0181,0.02,17,268,1,(ENSG00000220993)
45,0.0635,0.0701,66,215,1,RPL7P17
46,0.1942,0.2024,234,0,1,TLL2
47,0.0091,0.01,5,1322,1,AL606490.3
48,0.0363,0.0401,17,34,1,CTSA
49,0.7132,0.7234,1244,0,1,AL671277.1
50,0.3103,0.3046,375,0,1,IL32
51,0.3793,0.3948,562,0,1,AC116351.1
52,0.118,0.1283,151,0,1,AC103810.5
53,0.0018,0.002,0,194,266,"ASS1P7, AL390778.1, LINC02317, AP003049.1, RIOK3P1, SNORD3C, RN7SL492P, TRBV17, AL365217.1, OR51A2, OR5AN2P, AC021180.1, AC009055.1, AC009033.1, CNOT7P2, AC005722.1, RPP40P1, NSFL1C, AL355390.1, LARP1BP1, RPL17P37, LINC02013, OR8J2, LINC00485, OR6V1, AL596276.1, AC091691.1, SLC5A4P1, AL162151.1, (ENSG00000186232), OR9G1, HECTD3, (ENSG00000268991), AL512638.1, PPIAP56, RNU1-57P, RBMY2UP, RN7SL571P, STUB1P1, OR5AP1P, YWHAQP1, WDR45P1, (ENSG00000223929), AC006548.1, RN7SKP101, METTL7AP1, AL731661.1, RN7SL759P, RN7SL423P, AC097521.1, LINC01597, (ENSG00000259957), AC244250.3, AC079168.1, RN7SL50P, BGLT3, NMNAT1P5, OR4C15, STIP1P3, AC008539.1, TXNDC8, AC134978.1, AL359475.1, Z83820.1, FAM230G, H3P34, AC091953.5, LINC01917, PNRC2, RAB11AP2, OR7E53P, OR8B5P, AC005008.1, (ENSG00000276165), (ENSG00000204293), AC023538.1, AC140125.3, AC104685.1, RMRPP5, LCE2A, MTND4P2, LINC01696, RN7SL238P, DRD3, AC233290.2, AC006840.1, AC092683.2, AC092669.1, RNU6-221P, AC105917.1, IK, AP002008.2, DUX4L45, AC117430.1, RN7SL218P, OR8K5, AC013727.1, TUBB4BP5, HAUS6P1, AL008638.5, AC073336.1, COL25A1-DT, AC007547.1, RN7SKP120, DDA1, RPL18P1, RNU7-106P, SCP2D1-AS1, NEU2, RN7SL217P, AC107016.1, THAP12P2, VDAC1P5, AC009396.1, AC217774.2, AC090155.2, AC073941.1, LINC02212, ST13P12, MRGPRX11P, MTND2P8, OR5M10, AC104457.1, AC091814.1, AC034238.2, RN7SL479P, AC027506.1, SUMO2P2, NPM1P38, AF213884.2, AC094105.2, TUBBP9, NUTF2P8, AP001960.1, OR8D2, AC092821.2, TMPRSS11BNL, AC002456.2, AC004590.1, MGAT4D, OR7E156P, AL137190.1, AL137129.1, AC023141.2, AC104454.1, LINC01377, AL590399.6, KRT18P49, MIR3683, AC015688.2, AC022140.1, WSPAR, (ENSG00000256927), RN7SL185P, AC018992.1, AC023050.3, LRRC6P1, LINC02748, TAS2R8, MTCO2P8, AC111000.3, RN7SKP270, USP17L3, AC073544.1, AL021879.1, RN7SL666P, RN7SL734P, AL596245.1, LINC01886, RRAGAP1, BX088651.3, PNMA6F, GAPDHP29, AL109837.1, AC022507.1, AC040168.2, PCBP3-AS1, AJ271736.1, AL353811.1, RNU6-812P, AC068134.1, RPL7P35, RN7SL496P, AL096870.1, PP2672, RNU6-1244P, RN7SL140P, GOLGA5P1, CYP2C56P, AC098592.1, MAPRE1P2, AC023043.1, RPL21P108, LINC00529, (ENSG00000278105), KRT18P42, HNRNPA1P42, RN7SKP267, NRG1-IT3, AC142384.1, RN7SL266P, ISCA1P3, (ENSG00000260449), SCP2D1, AL442639.1, OR10A7, AP002370.1, PAX6, (ENSG00000254761), AC008060.2, AL353072.1, CNTNAP3P5, RPL7AP61, RNU2-20P, SPRING1P1, LINC01289, RN7SKP27, PHKBP1, AC016550.3, AC004147.3, AL138885.2, DEFB109C, AC090142.3, AC112203.1, AF241725.1, PKMP2, OR52B2, LINC02136, AC004080.6, GRK7, AL138688.1, AC010947.1, OR7E23P, CAPZA1P3, MTND1P18, LINC02411, NENFP3, AC127071.2, DEFB107B, AC084759.1, AL109924.3, RN7SL341P, (ENSG00000226785), SRGNP1, AL136520.1, (ENSG00000259971), AL450346.2, ASCC2, TFAP2D, OTX2-AS1, AC012182.1, LINC01879, MIR194-2HG, (ENSG00000265637), RN7SL286P, DIS3L2P1, LINC01525, MIR548AB, LINC02213, DIAPH3-AS2, LINC02366, VEZF1P1, OR51P1P, CU633904.2, AC025918.2, AC023513.1"
54,0.0036,0.004,2,4037,200,"THAP12P4, OR14A16, RN7SL177P, AC007557.2, LINC01036, SETP15, RBMX2P3, RPL22P23, MTCO3P21, AL589993.1, RN7SKP156, AC107304.1, AC099541.1, RFKP1, ATP8A2P3, AC104164.1, AC026780.1, AC128709.3, RN7SL87P, AKR1D1P1, AC022447.1, OR52P2P, CHCHD3P2, FAM138B, TUBAP8, HMGB1P39, AC015909.1, PCSK6-AS1, FSHR, Z97055.1, CRYZP2, LINC01038, OR4M2B, AC011500.3, RAD21P1, RN7SL518P, ALDH7A1P3, MARK2P6, NDE1P2, CAPZA1P5, AC007557.3, RNU6-72P, AL669831.2, AC083760.1, FGF14-IT1, AC084880.2, SNORD115-16, AL671862.1, KCNAB1-AS1, OR52A4P, DDC-AS1, AC092608.3, AC012615.3, NUP35P2, AC130366.1, AC123912.2, OR13I1P, AC093755.1, AP003789.1, AC095350.1, ACTR1AP1, OR2A14, CSNK1A1L, OR2W1, KRT18P44, RN7SL691P, AL645634.1, TUBB4BP8, AC125793.1, PLSCR5, LRRTM4-AS1, OR13C1P, AC096576.3, AC008628.2, AC131935.2, AL354794.1, VN1R78P, ECEL1P3, AL592076.1, LINC00347, AC093763.2, AC008799.2, BSN-AS1, AC125613.1, OR2G1P, AL133387.2, RN7SKP228, LDHAL6FP, MTCYBP12, Z94721.2, AL162632.3, AC005520.1, MTCO1P1, HS6ST2-AS1, DNMT3AP1, KRASP1, SNX2P2, AC004490.1, OR2P1P, AP002957.1, AC112249.1, (ENSG00000265780), (ENSG00000278772), RN7SKP166, Metazoa_SRP, AC016550.1, AC073941.2, OR51AB1P, KATNBL1P5, AC007552.1, CTBP2P5, AC010776.1, RN7SKP111, MTATP6P18, RN7SKP104, RN7SKP171, RN7SKP76, AC004158.1, DUX4L46, AP000720.2, LINC02039, LINC02821, RN7SKP6, RNU1-115P, MRPL22P1, MRPL49P2, AL450309.1, PEX12P1, AP001357.1, CR786580.1, AC093904.1, EGFLAM-AS3, HMGB1P25, AC091685.1, AC073263.3, RN7SL712P, BOD1P1, BMS1P3, MTCYBP34, IDI1P1, AC007938.2, BPNT2P, PTPRT-AS1, OR11L1, RN7SKP20, RPL18AP14, DYNLL1P6, AC099328.1, AC008705.2, RDM1P5, CLRN1, GPR21, RN7SL335P, LINC01259, DUTP4, AC011196.1, AL691447.1, RN7SKP174, RN7SL149P, RN7SKP211, AC012309.1, AC008638.1, GAPDHP34, CYP2A7P2, AC106744.2, AC008406.1, VDAC1P7, RN7SKP58, AL022396.1, LINC01262, RN7SL178P, AC096638.2, DDI1, AP002530.1, TMEM225, AL603840.1, AC096708.1, NPIPB8, LRRC53, OR51G1, LINC01375, TNP2, LINC01826, AC005244.2, AL355379.1, KLF3P1, KPRP, AC010096.1, MTCO1P10, TARDBP, FTH1P26, AC093259.1, RNU2-8P, ST13P21, SNX5P2, AP002884.3, RN7SKP226, ANKRD26P3, AC121320.1, OR8D4"
55,0.1071,0.1162,91,0,1,PTPN4
56,0.2577,0.2625,243,0,1,NUCB2
57,0.2613,0.2745,687,0,1,AC087741.2
58,0.02,0.018,8,378,1,SERPINB12
