Node,Frequency,Frequency_in_cancer,In_Degree,Out_Degree
185,0.24863883847549909,0.2605210420841683,268,0
186,0.6606170598911071,0.6533066132264529,1258,0
187,0.014519056261343012,0.01603206412825651,6,527
188,0.010889292196007259,0.012024048096192385,6,769
189,0.1851179673321234,0.20240480961923848,181,0
190,0.016333938294010888,0.018036072144288578,18,124
191,0.019963702359346643,0.022044088176352707,26,7
192,0.047186932849364795,0.052104208416833664,46,18
193,0.056261343012704176,0.056112224448897796,53,5
194,0.49727767695099817,0.5170340681362725,920,0
195,0.3339382940108893,0.3587174348697395,647,0
196,0.5916515426497277,0.6072144288577155,1239,0
197,0.010889292196007259,0.008016032064128256,6,347
198,0.056261343012704176,0.06212424849699399,28,0
199,0.025408348457350273,0.028056112224448898,15,1
200,0.06896551724137931,0.07214428857715431,78,24
201,0.007259528130671506,0.008016032064128256,3,961
202,0.014519056261343012,0.012024048096192385,26,287
203,0.0018148820326678765,0.002004008016032064,0,231
204,0.5172413793103449,0.5511022044088176,1071,0
205,0.025408348457350273,0.02404809619238477,31,5
206,0.4482758620689655,0.4749498997995992,863,0
207,0.016333938294010888,0.018036072144288578,18,423
208,0.06170598911070781,0.06412825651302605,41,1
209,0.22323049001814882,0.24248496993987975,425,0
210,0.009074410163339383,0.01002004008016032,8,121
211,0.016333938294010888,0.01603206412825651,8,285
212,0.010889292196007259,0.012024048096192385,10,369
213,0.809437386569873,0.8617234468937875,1483,0
214,0.0018148820326678765,0.002004008016032064,0,197
215,0.014519056261343012,0.014028056112224449,7,236
216,0.07078039927404718,0.07615230460921844,47,0
217,0.021778584392014518,0.02404809619238477,15,578
218,0.016333938294010888,0.018036072144288578,7,362
219,0.0054446460980036296,0.006012024048096192,3,1103
220,0.007259528130671506,0.008016032064128256,2,422
221,0.23774954627949182,0.25851703406813625,130,0
222,0.7078039927404719,0.7374749498997996,1895,0
223,0.02722323049001815,0.028056112224448898,24,350
224,0.032667876588021776,0.036072144288577156,32,105
225,0.034482758620689655,0.03006012024048096,29,16
226,0.039927404718693285,0.04208416833667335,19,90
227,0.050816696914700546,0.05410821643286573,22,247
228,0.034482758620689655,0.03807615230460922,29,42
229,0.019963702359346643,0.02004008016032064,16,486
230,0.0054446460980036296,0.006012024048096192,3,740
231,0.2849364791288566,0.3106212424849699,326,1
232,0.003629764065335753,0.004008016032064128,2,4631
233,0.07441016333938294,0.08216432865731463,39,3
234,0.0780399274047187,0.0841683366733467,50,93
235,0.5771324863883848,0.5771543086172345,1331,0
236,0.016333938294010888,0.018036072144288578,11,430
237,0.003629764065335753,0.004008016032064128,2,444
238,0.0018148820326678765,0.002004008016032064,0,94
239,0.2395644283121597,0.2545090180360721,245,0
240,0.2159709618874773,0.22845691382765532,193,0
241,0.3121597096188748,0.2905811623246493,377,0
242,0.46098003629764067,0.4909819639278557,1041,0
243,0.09437386569872959,0.09819639278557114,71,1
244,0.003629764065335753,0.004008016032064128,2,831
245,0.10526315789473684,0.11623246492985972,113,0
246,0.018148820326678767,0.02004008016032064,20,26
247,0.05263157894736842,0.04809619238476954,24,28
248,0.4355716878402904,0.46292585170340683,597,0
249,0.47368421052631576,0.4909819639278557,1458,0
250,0.15970961887477314,0.1743486973947896,134,0
251,0.147005444646098,0.156312625250501,72,0
252,0.0852994555353902,0.08016032064128256,73,11
253,0.132486388384755,0.13627254509018036,109,8
254,0.009074410163339383,0.004008016032064128,4,197
255,0.24500907441016334,0.24649298597194388,275,0
256,0.1542649727767695,0.16432865731462926,96,0
257,0.06533575317604355,0.07014028056112225,61,1
258,0.029038112522686024,0.03206412825651302,15,645
259,0.36116152450090744,0.3867735470941884,419,0
260,0.003629764065335753,0.004008016032064128,1,1084
261,0.009074410163339383,0.01002004008016032,4,0
