Sample Index,TCGA ID,Sample Type,Total Deregulations,Brownian Deregulations,Brownian Nodes (Out degree>0),Cluster,CFAP65,CDKN1C,AC245100.2,AC008764.8,LRATD2,AL137186.2,TRIM2,AL022332.1,MADCAM1,U3,AC012213.3,(ENSG00000264976),OAT,AC007000.2,DNPH1
73,TCGA-HC-A631-01A,Tumor,8063,5,3472 5893 28355 35853,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1
74,TCGA-2A-A8VT-01A,Tumor,9370,233,Multiple,2,0,1,1,1,1,0,0,0,1,0,1,1,0,1,0
75,TCGA-YL-A8SA-01A,Tumor,9302,3,1064 20054 33371,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0
76,TCGA-EJ-7793-11A,Normal,2091,146,Multiple,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,TCGA-KK-A6DY-01A,Tumor,7398,3,5438 19683 24077,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
78,TCGA-ZG-A9LB-01A,Tumor,9330,1,4372,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
79,TCGA-EJ-7125-01A,Tumor,6135,555,Multiple,2,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
80,TCGA-HC-7232-01A,Tumor,5151,530,Multiple,2,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0
81,TCGA-EJ-7783-11A,Normal,5807,1,13050,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,TCGA-QU-A6IO-01A,Tumor,12643,1,669,1,1,0,0,1,0,1,1,0,1,0,0,0,1,0,1
83,TCGA-YL-A8HM-01A,Tumor,9796,1,2562,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1
84,TCGA-J4-A67O-01A,Tumor,10948,1,12107,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1
85,TCGA-EJ-7781-01A,Tumor,5153,3,15613 36233,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
86,TCGA-G9-6353-01A,Tumor,3031,2,15626,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
87,TCGA-M7-A722-01A,Tumor,13232,2,24593 29280,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1
88,TCGA-EJ-7330-11A,Normal,3128,1,8829,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,TCGA-J4-A6G1-01A,Tumor,5428,1,6861,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
90,TCGA-KC-A4BN-01A,Tumor,6705,1,44259,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
91,TCGA-V1-A8ML-01A,Tumor,5883,1,4758,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,1
92,TCGA-EJ-A7NK-01A,Tumor,5421,4,678 19404 34879,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
93,TCGA-KK-A7AV-01A,Tumor,6560,1,3458,1,0,0,1,1,0,1,1,0,1,1,0,0,0,0,1
94,TCGA-M7-A721-01A,Tumor,4624,10,2311 9725 10257 32932,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1
95,TCGA-G9-7519-01A,Tumor,5740,2,20386,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
96,TCGA-V1-A9Z7-01A,Tumor,6235,4,36926,1,0,1,0,0,1,1,1,1,1,0,0,0,1,0,1
